id,provider,title,start_date,end_date,startyear,endyear,type,tags
IDAHO_EPSCOR/MACAv2_METDATA,University of Idaho,"MACAv2-METDATA: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global Climate Models",1/1/1900,12/30/2000,1900,2100,ImageCollection,"idaho, maca, climate, conus, monthly, geophysical"
IDAHO_EPSCOR/MACAv2_METDATA_MONTHLY,University of Idaho,"MACAv2-METDATA Monthly Summaries: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global  Climate Models",1/1/1900,12/30/1999,1900,2099,ImageCollection,"idaho, maca, climate, conus, monthly, geophysical"
NRCan/CDEM,NRCan,Canadian Digital Elevation Model,1/1/1945,12/31/2010,1945,2010,ImageCollection,"nrcan, canada, cdem, elevation, topography, dem, geophysical"
NASA/GLDAS/V20/NOAH/G025/T3H,NASA,Reprocessed GLDAS-2.0: Global Land Data Assimilation System,1/1/1948,12/30/2010,1948,2010,ImageCollection,"nasa, ldas, gldas, 3-hourly, forcing, wind, temperature, humidity, geophysical, soil, moisture, surface, pressure, radiation, precipitation, evaporation, climate"
NCEP_RE/sea_level_pressure,NCEP / NCAR,"NCEP/NCAR Reanalysis Data, Sea-Level Pressure",1/1/1948,4/7/2020,1948,2020,ImageCollection,"ncep, ncar, noaa, atmosphere, reanalysis, climate, geophysical, pressure"
NCEP_RE/surface_temp,NCEP / NCAR,"NCEP/NCAR Reanalysis Data, Surface Temperature",1/1/1948,4/7/2020,1948,2020,ImageCollection,"ncep, ncar, noaa, atmosphere, reanalysis, climate, geophysical, temperature"
NCEP_RE/surface_wv,NCEP / NCAR,"NCEP/NCAR Reanalysis Data, Water vapor",1/1/1948,4/7/2020,1948,2020,ImageCollection,"ncep, ncar, noaa, atmosphere, reanalysis, climate, geophysical, precipitable, vapor"
CSIRO/SLGA,CSIRO/SLGA,SLGA: Soil and Landscape Grid of Australia (Soil Attributes),1/1/1950,12/30/2013,1950,2013,ImageCollection,"CSIRO, SLGA, TERN, soil, Australia, GlobalSoilMap, digital_soil_mapping, soil_depth"
NASA/NEX-DCP30,NASA / CSU,NEX-DCP30: NASA Earth Exchange Downscaled Climate Projections,1/1/1950,12/30/1999,1950,2099,ImageCollection,"nasa, csu, nex, precipitation, temperature, cmip5, climate, geophysical"
NASA/NEX-DCP30_ENSEMBLE_STATS,NASA / CSU,NEX-DCP30: Ensemble Stats for NASA Earth Exchange Downscaled Climate Projections,1/1/1950,12/30/1999,1950,2099,ImageCollection,"nasa, csu, nex, precipitation, temperature, cmip5, climate, geophysical"
NASA/NEX-GDDP,NASA / CSU,NEX-GDDP: NASA Earth Exchange Global Daily Downscaled Climate Projections,1/1/1950,12/30/1999,1950,2099,ImageCollection,"nasa, csu, nex, gddp, precipitation, temperature, cmip5, climate, geophysical"
OpenLandMap/SOL/SOL_BULKDENS-FINEEARTH_USDA-4A1H_M/v02,EnvirometriX Ltd,OpenLandMap Soil bulk density,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, bulk, density"
OpenLandMap/SOL/SOL_CLAY-WFRACTION_USDA-3A1A1A_M/v02,EnvirometriX Ltd,OpenLandMap Clay content,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, clay, usda"
OpenLandMap/SOL/SOL_GRTGROUP_USDA-SOILTAX-HAPLUDALFS_P/v01,EnvirometriX Ltd,OpenLandMap predicted Hapludalfs probability,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, hapludalfs, argillic"
OpenLandMap/SOL/SOL_GRTGROUP_USDA-SOILTAX_C/v01,EnvirometriX Ltd,OpenLandMap USDA soil taxonomy great groups,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, taxonomy, usda"
OpenLandMap/SOL/SOL_ORGANIC-CARBON_USDA-6A1C_M/v02,EnvirometriX Ltd,OpenLandMap Soil organic carbon content,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, organic, carbon"
OpenLandMap/SOL/SOL_PH-H2O_USDA-4C1A2A_M/v02,EnvirometriX Ltd,OpenLandMap Soil pH in H2O,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, ph"
OpenLandMap/SOL/SOL_SAND-WFRACTION_USDA-3A1A1A_M/v02,EnvirometriX Ltd,OpenLandMap Sand content,1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, sand, usda"
OpenLandMap/SOL/SOL_TEXTURE-CLASS_USDA-TT_M/v02,EnvirometriX Ltd,OpenLandMap Soil texture class (USDA system),1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, texture, usda"
OpenLandMap/SOL/SOL_WATERCONTENT-33KPA_USDA-4B1C_M/v01,EnvirometriX Ltd,OpenLandMap Soil water content at 33kPa (field capacity),1/1/1950,12/31/2017,1950,2017,Image,"EnvirometriX, OpenLandMap, OpenGeoHub, soil, watercontent"
IDAHO_EPSCOR/TERRACLIMATE,University of Idaho,"TerraClimate:  Monthly Climate and Climatic Water Balance for Global Terrestrial Surfaces, University of Idaho",1/1/1958,11/30/2019,1958,2019,ImageCollection,"idaho, climate, global, monthly, geophysical, palmer, drought, pdsi, evapotranspiration, precipitation, runoff, temperature, vapor, wind"
WORLDCLIM/V1/BIO,"University of California, Berkeley",WorldClim BIO Variables V1,1/1/1960,12/31/1990,1960,1990,Image,"ucb, berkeley, worldclim, weather, monthly, climate, temperature, precipitation, bioclim, bio1, bio2, bio3, bio4, bio5, bio6, bio7, bio8, bio9, bio10, bio11, bio12, bio13, bio14, bio15, bio16, bio17, bio18, bio19, diurnal, warmest, coldest, wettest, driest, seasonality, isothermality"
WORLDCLIM/V1/MONTHLY,"University of California, Berkeley",WorldClim Climatology V1,1/1/1960,12/31/1990,1960,1990,ImageCollection,"ucb, berkeley, worldclim, weather, monthly, climate, temperature, precipitation"
