id,provider,title,start_date,end_date,startyear,endyear,type,tags
HYCOM/sea_temp_salinity,NOPP,"HYCOM: Hybrid Coordinate Ocean Model, Water Temperature and Salinity",10/01/92,10/20/19,1992,2019,ImageCollection,"hycom, nopp, ocean, water, sst, water_temp, salinity"
OpenLandMap/SOL/SOL_WATERCONTENT-33KPA_USDA-4B1C_M/v01,EnvirometriX Ltd,OpenLandMap Soil water content at 33kPa (field capacity),01/01/1950,12/31/17,1950,2017,Image,"envirometrix, openlandmap, opengeohub, soil, watercontent"
CSIRO/SLGA,CSIRO/SLGA,SLGA: Soil and Landscape Grid of Australia (Soil Attributes),01/01/1950,12/30/13,1950,2013,ImageCollection,"csiro, slga, tern, soil, australia, globalsoilmap, digital_soil_mapping, soil_depth"
COPERNICUS/S1_GRD,European Union/ESA/Copernicus,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",10/02/14,10/19/19,2014,2019,ImageCollection,"eu, esa, copernicus, sentinel, radar, sar, backscattering, polarization"
NOAA/GFS0P25,NOAA/NCEP/EMC,GFS: Global Forecast System 384-Hour Predicted Atmosphere Data,06/30/15,10/20/19,2015,2019,ImageCollection,"noaa, gfs, ncep, emc, temperature, humidity, wind, radiation, precipitation, flux, cloud, vapor, weather, forecast, climate, geophysical"
IDAHO_EPSCOR/TERRACLIMATE,University of Idaho,"TerraClimate:  Monthly Climate and Climatic Water Balance for Global Terrestrial Surfaces, University of Idaho",01/01/1958,11/30/18,1958,2018,ImageCollection,"idaho, climate, global, monthly, geophysical, palmer, drought, pdsi, evapotranspiration, precipitation, runoff, temperature, vapor, wind"
NOAA/CDR/PATMOSX/V53,NOAA,"NOAA CDR PATMOSX: Cloud Properties, Reflectance, and Brightness Temperatures, Version 5.3",12/31/78,10/13/19,1978,2019,ImageCollection,"noaa, cdr, avhrr, poes, metop, atmospheric, cloud, reflectance, brightness, temperature, optical"
COPERNICUS/S5P/OFFL/L3_AER_AI,European Union/ESA/Copernicus,Sentinel-5P OFFL AER AI: Offline UV Aerosol Index,07/03/18,10/14/19,2018,2019,ImageCollection,"eu, esa, copernicus, sentinel, s5p, knmi, tropomi, aerosol, aai, uvai, pollution, air_quality"
JAXA/ALOS/AW3D30_V1_1,JAXA Earth Observation Research Center,ALOS DSM: Global 30m,01/23/06,05/11/11,2006,2011,Image,"jaxa, alos, elevation, dem, geophysical, topography"
COPERNICUS/S5P/NRTI/L3_AER_AI,European Union/ESA/Copernicus,Sentinel-5P NRTI AER AI: Near Real-Time UV Aerosol Index,07/09/18,10/20/19,2018,2019,ImageCollection,"eu, esa, copernicus, sentinel, s5p, knmi, tropomi, aerosol, aai, uvai, pollution, air_quality"
Oxford/MAP/accessibility_to_cities_2015_v1_0,"Malaria Atlas Project, University of Oxford",Accessibility to Cities 2015,12/31/14,12/31/15,2014,2015,Image,"oxford, map, jrc, twente, accessibility"
NASA/FLDAS/NOAH01/C/GL/M/V001,NASA,FLDAS: Famine Early Warning Systems Network (FEWS NET) Land Data Assimilation System ,12/31/81,08/31/19,1981,2019,ImageCollection,"nasa, ldas, fldas, monthly, famine, evapotranspiration, humidity, runoff, snow, temperature, wind, soil_temperature, soil_moisture, climate"
NOAA/CDR/SST_PATHFINDER/V53,NOAA,NOAA AVHRR Pathfinder Version 5.3 Collated Global 4km Sea Surface Temperature,08/23/81,12/30/14,1981,2014,ImageCollection,"noaa, avhrr, pathfinder, sst, temperature, wind, sea_ice"
NOAA/GOES/16/FDCF,NOAA,GOES-16 Series ABI Level 2 Fire/Hot Spot Characterization,06/09/19,10/19/19,2019,2019,ImageCollection,"abi, goes, nesdis, noaa, ospo, goes-16, goes-east, goes-r, climate, fire, hotspot, wildfire, weather"
NOAA/GOES/17/FDCF,NOAA,GOES-17 Series ABI Level 2 Fire/Hot Spot Characterization,06/09/19,10/19/19,2019,2019,ImageCollection,"abi, goes, nesdis, noaa, ospo, goes-17, goes-west, goes-s, climate, fire, hotspot, wildfire, weather"
USGS/LIMA/SR,USGS,Landsat Image Mosaic of Antarctica (LIMA) - Processed Landsat Scenes (16 bit),06/29/99,09/03/02,1999,2002,ImageCollection,"usgs, lima, landsat_derived, antarctica, sr, mosaic, ice"
IDAHO_EPSCOR/MACAv2_METDATA_MONTHLY,University of Idaho,"MACAv2-METDATA Monthly Summaries: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global  Climate Models",01/01/1900,12/30/99,1900,2099,ImageCollection,"idaho, maca, climate, conus, monthly, geophysical"
IDAHO_EPSCOR/MACAv2_METDATA,University of Idaho,"MACAv2-METDATA: University of Idaho, Multivariate Adaptive Constructed Analogs Applied to Global Climate Models",01/01/1900,12/30/00,1900,2100,ImageCollection,"idaho, maca, climate, conus, monthly, geophysical"
NOAA/CDR/AVHRR/AOT/V3,NOAA,"NOAA CDR AVHRR AOT: Daily Aerosol Optical Thickness Over Global Oceans, v03",12/31/80,06/23/19,1980,2019,ImageCollection,"noaa, cdr, aot, daily, avhrr, atmospheric, aerosol, optical, pollution"
